year,sample,serial,cbserial,hhwt,hhtype,cluster,region,stateicp,statefip,countyicp,density,metro,strata,cntry,gq,rent,rentgrs,valueh,ssmc,pernum,perwt,momloc,poploc,sploc,sprule,momloc2,nchild,nchlt5,sex,age,marst,birthyr,race,raced,hispan,hispand,school,educ,educd,schltype,empstat,empstatd,labforce,classwkr,classwkrd,occ1950,occ1990,occ2010,wkswork1,wkswork2,uhrswork,workedyr,inctot,ftotinc,incwage,racesing,racesingd,qmarst,qrace,sprule_sp,sex_sp,age_sp,marst_sp,birthyr_sp,race_sp,raced_sp,hispan_sp,hispand_sp,school_sp,educ_sp,educd_sp,schltype_sp,empstat_sp,empstatd_sp,labforce_sp,classwkr_sp,classwkrd_sp,occ1950_sp,occ1990_sp,occ2010_sp,wkswork1_sp,wkswork2_sp,workedyr_sp,inctot_sp,ftotinc_sp,incwage_sp,racesing_sp,racesingd_sp,qmarst_sp,qrace_sp,samesex_marriage,edu,edu_sp
2019,2019 acs,46765,2019000917712,172,married-couple family household,2019000467651,mountain division,arizona,arizona,130,1033.7,in metropolitan area: central/principal city status indeterminable (mixed),12904,united states,households under 1970 definition,n/a,n/a,300000,all other same-sex married couple households,1,172,0,0,2,"direct link, clarity level 1",0,1 child present,1 child under age 5,female,31,"married, spouse present",1988,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","professional, technical and kindred workers (nec)",computer systems analysts and computer scientists,database administrators,52,50-52 weeks,40,yes,95000,95000,95000,,,entered as written,entered as written,"direct link, clarity level 1",female,31,"married, spouse present",1988,white,white,not hispanic,not hispanic,"no, not in school",5+ years of college,master's degree,not enrolled,not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private",therapists and healers (nec),"therapists, n.e.c","therapists, nec",0,n/a,"no, but worked 1-5 years ago (acs only)",0,95000,0,,,entered as written,entered as written,1,4,5
2019,2019 acs,48062,2019000986513,106,married-couple family household,2019000480621,mountain division,arizona,arizona,130,5230.9,in metropolitan area: in central/principal city,11504,united states,households under 1970 definition,1400,1740,n/a,all other same-sex married couple households,1,107,0,0,2,"direct link, clarity level 1",0,1 child present,1 child under age 5,female,29,"married, spouse present",1990,white,white,not hispanic,not hispanic,"yes, in school",4 years of college,bachelor's degree,public school,employed,at work,"yes, in the labor force",works for wages,local govt employee,musicians and music teachers,special education teachers,special education teachers,40,40-47 weeks,50,yes,62000,94000,62000,,,entered as written,entered as written,"direct link, clarity level 1",female,27,"married, spouse present",1992,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",messengers and office boys,messengers,couriers and messengers,52,50-52 weeks,yes,32000,94000,32000,,,entered as written,entered as written,1,4,3
2019,2019 acs,49494,2019001058686,31,married-couple family household,2019000494941,mountain division,arizona,arizona,0,174.8,metropolitan status indeterminable (mixed),90004,united states,households under 1970 definition,3100,3467,n/a,all other same-sex married couple households,1,31,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,37,"married, spouse present",1982,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","attendants, recreation and amusement","supervisors of personal service jobs, n.e.c",first-line supervisors of personal service workers,52,50-52 weeks,40,yes,165000,266600,165000,,,entered as written,entered as written,"direct link, clarity level 1",male,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","buyers and dept heads, store","managers and specialists in marketing, advertising, and public relations","managers in marketing, advertising, and public relations",52,50-52 weeks,yes,101600,266600,92000,,,entered as written,entered as written,1,3,3
2019,2019 acs,49843,2019001077312,75,married-couple family household,2019000498431,mountain division,arizona,arizona,190,4746.6,in metropolitan area: central/principal city status indeterminable (mixed),20604,united states,households under 1970 definition,n/a,n/a,280000,all other same-sex married couple households,1,75,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"yes, in school",4 years of college,bachelor's degree,public school,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","nurses, professional",registered nurses,registered nurses,52,50-52 weeks,12,yes,12000,54000,12000,,,entered as written,entered as written,"direct link, clarity level 1",female,27,"married, spouse present",1992,"other race, nec","other race, n.e.c",puerto rican,puerto rican,"yes, in school",1 year of college,"1 or more years of college credit, no degree",public school,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","professional, technical and kindred workers (nec)",computer systems analysts and computer scientists,computer scientists and systems analysts/network systems analysts/web developers,52,50-52 weeks,yes,42000,54000,42000,,,entered as written,entered as written,1,4,3
2019,2019 acs,50003,2019001084690,196,married-couple family household,2019000500031,mountain division,arizona,arizona,130,6752.3,in metropolitan area: in central/principal city,12504,united states,households under 1970 definition,n/a,n/a,165000,all other same-sex married couple households,1,196,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,35,"married, spouse present",1984,white,white,mexican,mexican,"no, not in school",5+ years of college,master's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","professional, technical and kindred workers (nec)","teachers , n.e.c",teacher assistants,40,40-47 weeks,19,yes,9000,9000,9000,,,entered as written,allocated,"direct link, clarity level 1",female,35,"married, spouse present",1984,white,white,mexican,mexican,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,not in labor force,not in labor force,"no, not in the labor force",n/a,n/a,n/a (blank),unknown,"unemployed, with no work experience in the last 5 years or earlier or never worked",0,n/a,no,0,9000,0,,,entered as written,allocated,1,5,3
2019,2019 acs,52136,2019001193187,69,married-couple family household,2019000521361,mountain division,arizona,arizona,130,1033.7,in metropolitan area: central/principal city status indeterminable (mixed),12904,united states,households under 1970 definition,n/a,n/a,600000,all other same-sex married couple households,1,69,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,31,"married, spouse present",1988,white,white,not hispanic,not hispanic,"no, not in school",5+ years of college,professional degree beyond a bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,local govt employee,lawyers and judges,lawyers,"lawyers, and judges, magistrates, and other judicial workers",52,50-52 weeks,40,yes,65000,275000,65000,,,entered as written,entered as written,"direct link, clarity level 1",male,34,"married, spouse present",1985,white,white,mexican,mexican,"no, not in school",5+ years of college,professional degree beyond a bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,federal govt employee,physicians and surgeons,physicians,physicians and surgeons,52,50-52 weeks,yes,210000,275000,210000,,,entered as written,entered as written,1,5,5
2019,2019 acs,54880,2019001335514,88,married-couple family household,2019000548801,mountain division,arizona,arizona,130,3733.7,in metropolitan area: not in central/principal city,13104,united states,households under 1970 definition,880,1110,n/a,all other same-sex married couple households,1,87,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,31,"married, spouse present",1988,white,white,not hispanic,not hispanic,"yes, in school",2 years of college,"associate's degree, type not specified",public school,not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private",inspectors (nec),construction inspectors,construction and building inspectors,14,14-26 weeks,25,yes,22000,52800,9000,,,entered as written,entered as written,"direct link, clarity level 1",female,30,"married, spouse present",1989,white,white,not hispanic,not hispanic,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,clerical and kindred workers (n.e.c.),"administrative support jobs, n.e.c","office and administrative support workers, nec",52,50-52 weeks,yes,30800,52800,30800,,,entered as written,entered as written,1,3,3
2019,2019 acs,55275,2019001355385,61,married-couple family household,2019000552751,mountain division,arizona,arizona,130,3703.7,in metropolitan area: in central/principal city,12004,united states,households under 1970 definition,n/a,n/a,250000,all other same-sex married couple households,1,61,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,31,"married, spouse present",1988,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",financial managers,financial managers,52,50-52 weeks,45,yes,87000,143000,87000,,,entered as written,entered as written,"direct link, clarity level 1",male,31,"married, spouse present",1988,black/african american,black/african american,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",financial managers,financial managers,52,50-52 weeks,yes,56000,143000,56000,,,entered as written,entered as written,1,4,3
2019,2019 acs,55962,2019001390169,89,married-couple family household,2019000559621,mountain division,arizona,arizona,130,6752.3,in metropolitan area: in central/principal city,12504,united states,households under 1970 definition,940,1090,n/a,all other same-sex married couple households,1,89,0,0,2,"direct link, clarity level 1",0,3,2,female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"yes, in school",2 years of college,"associate's degree, type not specified",public school,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,misc social scientists,"social scientists, n.e.c","social scientists, nec",52,50-52 weeks,45,yes,40000,40330,35000,,,entered as written,entered as written,"direct link, clarity level 1",female,24,"married, spouse present",1995,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",cashiers,cashiers,cashiers,1,1-13 weeks,yes,330,40330,330,,,entered as written,entered as written,1,3,2
2019,2019 acs,60221,2019000263098,30,married-couple family household,2019000602211,west south central div,arkansas,arkansas,0,48.9,not in metropolitan area,150005,united states,households under 1970 definition,$500+,786,n/a,all other same-sex married couple households,1,30,0,0,2,"direct link, clarity level 1",0,2,no children under age 5,female,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)","managers of service organizations, n.e.c",social and community service managers,52,50-52 weeks,44,yes,25000,40000,25000,,,entered as written,entered as written,"direct link, clarity level 1",female,34,"married, spouse present",1985,white,white,not hispanic,not hispanic,"no, not in school",2 years of college,"associate's degree, type not specified",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",charwomen and cleaners,"housekeepers, maids, butlers, stewards, and lodging quarters cleaners",maids and housekeeping cleaners,52,50-52 weeks,yes,15000,40000,15000,,,entered as written,entered as written,1,3,3
2019,2019 acs,60294,2019000272632,159,married-couple family household,2019000602941,west south central div,arkansas,arkansas,0,85.2,not in metropolitan area,80005,united states,households under 1970 definition,1500,1770,n/a,all other same-sex married couple households,1,159,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,30,"married, spouse present",1989,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",designers,designers,designers,52,50-52 weeks,40,yes,85000,130000,65000,,,entered as written,entered as written,"direct link, clarity level 1",female,27,"married, spouse present",1992,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",self-employed,"self-employed, not incorporated",artists and art teachers,"art makers: painters, sculptors, craft-artists, and print-makers",artists and related workers,52,50-52 weeks,yes,45000,130000,30000,,,entered as written,entered as written,1,4,4
2019,2019 acs,61010,2019000354796,51,married-couple family household,2019000610101,west south central div,arkansas,arkansas,0,36.5,metropolitan status indeterminable (mixed),180005,united states,households under 1970 definition,n/a,n/a,120000,all other same-sex married couple households,1,51,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,36,"married, spouse present",1983,white,white,not hispanic,not hispanic,"no, not in school",2 years of college,"associate's degree, type not specified",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",practical nurses,licensed practical nurses,licensed practical and licensed vocational nurses,52,50-52 weeks,48,yes,38400,69600,38400,,,entered as written,entered as written,"direct link, clarity level 1",female,36,"married, spouse present",1983,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",foremen (nec),production supervisors or foremen,first-line supervisors of production and operating workers,52,50-52 weeks,yes,31200,69600,31200,,,entered as written,entered as written,1,3,2
2019,2019 acs,61318,2019000388968,70,married-couple family household,2019000613181,west south central div,arkansas,arkansas,0,62.5,metropolitan status indeterminable (mixed),30005,united states,households under 1970 definition,680,907,n/a,all other same-sex married couple households,1,69,0,0,2,"direct link, clarity level 1",0,2,1 child under age 5,female,25,"married, spouse present",1994,white,white,not hispanic,not hispanic,"yes, in school",grade 12,"some college, but less than 1 year",public school,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",managers of food-serving and lodging establishments,food service and lodging managers,52,50-52 weeks,40,yes,33000,65000,33000,,,entered as written,entered as written,"direct link, clarity level 1",female,35,"married, spouse present",1984,white,white,not hispanic,not hispanic,"yes, in school",grade 12,regular high school diploma,public school,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","guards, watchmen, and doorkeepers","guards, watchmen, doorkeepers",security guards and gaming surveillance officers,52,50-52 weeks,yes,32000,65000,32000,,,entered as written,entered as written,1,3,2
2019,2019 acs,62709,2019000543818,199,married-couple family household,2019000627091,west south central div,arkansas,arkansas,0,231.8,metropolitan status indeterminable (mixed),50005,united states,households under 1970 definition,820,993,n/a,all other same-sex married couple households,1,199,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",operative and kindred workers (nec),pest control occupations,pest control workers,52,50-52 weeks,50,yes,20000,20000,20000,,,entered as written,entered as written,"direct link, clarity level 1",female,22,"married, spouse present",1997,white,white,not hispanic,not hispanic,"yes, in school",1 year of college,"1 or more years of college credit, no degree",public school,not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private","cooks, except private household","cooks, variously defined",chefs and cooks,0,n/a,"no, but worked 1-5 years ago (acs only)",0,20000,0,,,entered as written,entered as written,1,3,3
2019,2019 acs,67548,2019001098984,171,married-couple family household,2019000675481,west south central div,arkansas,arkansas,0,86.90000000000001,not in metropolitan area,190005,united states,households under 1970 definition,1100,1100,n/a,all other same-sex married couple households,1,171,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,24,"married, spouse present",1995,two major races,black and filipino,not hispanic,not hispanic,"yes, in school",1 year of college,"1 or more years of college credit, no degree","private school (1960,1990-2000,acs,prcs)",employed,armed forces--at work,"yes, in the labor force",works for wages,federal govt employee,members of the armed services,military,purchasing managers,52,50-52 weeks,40,yes,43000,43000,43000,,,entered as written,entered as written,"direct link, clarity level 1",male,29,"married, spouse present",1990,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private",truck and tractor drivers,"truck, delivery, and tractor drivers",driver/sales workers and truck drivers,0,n/a,"no, but worked 1-5 years ago (acs only)",0,43000,0,,,entered as written,entered as written,1,3,2
2019,2019 acs,67976,2019001149139,34,married-couple family household,2019000679761,west south central div,arkansas,arkansas,0,231.8,metropolitan status indeterminable (mixed),50005,united states,households under 1970 definition,n/a,n/a,240000,all other same-sex married couple households,1,34,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","professional, technical and kindred workers (nec)",computer software developers,"software developers, applications and systems software",52,50-52 weeks,60,yes,82000,142000,82000,,,entered as written,entered as written,"direct link, clarity level 1",male,32,"married, spouse present",1987,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","nurses, professional",managers of medicine and health occupations,medical and health services managers,52,50-52 weeks,yes,60000,142000,60000,,,entered as written,entered as written,1,2,4
2019,2019 acs,68148,2019001169292,216,married-couple family household,2019000681481,west south central div,arkansas,arkansas,0,86.90000000000001,not in metropolitan area,190005,united states,households under 1970 definition,n/a,n/a,315000,all other same-sex married couple households,1,216,0,0,2,"direct link, clarity level 1",0,1 child present,1 child under age 5,male,27,"married, spouse present",1992,white,white,not hispanic,not hispanic,"yes, in school",5+ years of college,master's degree,public school,employed,at work,"yes, in the labor force",works for wages,state govt employee,"nurses, professional",registered nurses,registered nurses,52,50-52 weeks,40,yes,80000,137000,80000,,,entered as written,entered as written,"direct link, clarity level 1",male,27,"married, spouse present",1992,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","professional, technical and kindred workers (nec)",computer software developers,"software developers, applications and systems software",52,50-52 weeks,yes,57000,137000,57000,,,entered as written,entered as written,1,5,4
2019,2019 acs,87050,2019000007219,105,married-couple family household,2019000870501,pacific division,california,california,390,488.7,in metropolitan area: central/principal city status indeterminable (mixed),390006,united states,households under 1970 definition,1300,1350,n/a,all other same-sex married couple households,1,105,7,0,2,"direct link, clarity level 1",0,4,2,female,28,"married, spouse present",1991,"other race, nec","other race, n.e.c",mexican,mexican,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",operative and kindred workers (nec),"machine operators, n.e.c","food processing, nec",36,27-39 weeks,40,yes,20100,22720,18000,,,entered as written,entered as written,"direct link, clarity level 1",female,27,"married, spouse present",1992,"other race, nec","other race, n.e.c",mexican,mexican,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",laborers (nec),laborers outside construction,"laborers and freight, stock, and material movers, hand",1,1-13 weeks,yes,2620,22720,620,,,entered as written,entered as written,1,3,3
2019,2019 acs,87574,2019000012801,107,married-couple family household,2019000875741,pacific division,california,california,730,12547.4,in metropolitan area: in central/principal city,731706,united states,households under 1970 definition,750,1080,n/a,all other same-sex married couple households,1,107,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,32,"married, spouse present",1987,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,local govt employee,"attendants and assistants, library",library assistants,library technicians,52,50-52 weeks,40,yes,39400,79400,39400,,,entered as written,entered as written,"direct link, clarity level 1",male,28,"married, spouse present",1991,"other race, nec","other race, n.e.c",mexican,mexican,"no, not in school",grade 12,"12th grade, no diploma",not enrolled,employed,at work,"yes, in the labor force",self-employed,"self-employed, not incorporated","barbers, beauticians, and manicurists",hairdressers and cosmetologists,"hairdressers, hairstylists, and cosmetologists",52,50-52 weeks,yes,40000,79400,0,,,entered as written,entered as written,1,4,1
2019,2019 acs,87934,2019000016566,312,married-couple family household,2019000879341,pacific division,california,california,950,1882.9,in metropolitan area: not in central/principal city,950306,united states,households under 1970 definition,1800,1858,n/a,all other same-sex married couple households,1,313,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,25,"married, spouse present",1994,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,armed forces--at work,"yes, in the labor force",works for wages,federal govt employee,members of the armed services,military,"military, rank not specified",52,50-52 weeks,99 (topcode),yes,72000,90000,72000,,,entered as written,entered as written,"direct link, clarity level 1",male,29,"married, spouse present",1990,white,white,not hispanic,not hispanic,"yes, in school",1 year of college,"1 or more years of college credit, no degree","private school (1960,1990-2000,acs,prcs)",employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",designers,designers,designers,36,27-39 weeks,yes,18000,90000,18000,,,entered as written,entered as written,1,3,3
2019,2019 acs,89275,2019000030129,39,"female householder, no husband present",2019000892751,pacific division,california,california,370,10422.1,in metropolitan area: central/principal city status indeterminable (mixed),370706,united states,households under 1970 definition,1600,1830,n/a,households without a same-sex married couple,2,40,0,0,3,"direct link, clarity level 1",0,1 child present,1 child under age 5,female,29,"married, spouse present",1990,white,white,mexican,mexican,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","attendants, professional and personal service (nec)",child care workers,childcare workers,52,50-52 weeks,15,yes,2230,117730,830,,,entered as written,entered as written,"direct link, clarity level 1",female,27,"married, spouse present",1992,white,white,mexican,mexican,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,"guards, watchmen, and doorkeepers","guards, watchmen, doorkeepers",security guards and gaming surveillance officers,52,50-52 weeks,yes,24000,117730,24000,,,entered as written,entered as written,1,3,3
2019,2019 acs,90651,2019000044791,60,married-couple family household,2019000906511,pacific division,california,california,370,15709.3,in metropolitan area: in central/principal city,372906,united states,households under 1970 definition,1900,1950,n/a,all other same-sex married couple households,1,60,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,39,"married, spouse present",1980,white,white,not hispanic,not hispanic,"no, not in school",5+ years of college,master's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",accountants and auditors,accountants and auditors,accountants and auditors,52,50-52 weeks,45,yes,125500,125500,125000,,,entered as written,entered as written,"direct link, clarity level 1",male,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"yes, in school",4 years of college,bachelor's degree,"private school (1960,1990-2000,acs,prcs)",not in labor force,not in labor force,"no, not in the labor force",n/a,n/a,n/a (blank),unknown,"unemployed, with no work experience in the last 5 years or earlier or never worked",0,n/a,no,0,125500,0,,,entered as written,entered as written,1,5,4
2019,2019 acs,92548,2019000063934,72,married-couple family household,2019000925481,pacific division,california,california,990,1656.9,in metropolitan area: not in central/principal city,990106,united states,households under 1970 definition,950,1192,n/a,households without a same-sex married couple,1,71,0,0,5,"fifth level link, clarity level 1",0,3,no children under age 5,male,36,"married, spouse present",1983,"other race, nec","other race, n.e.c",mexican,mexican,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","farm laborers, wage workers",farm workers,"agricultural workers, nec",2,1-13 weeks,48,yes,600,1200,600,,,entered as written,entered as written,"fifth level link, clarity level 1",male,38,"married, spouse present",1981,two major races,white and other race write_in,mexican,mexican,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private","farm laborers, wage workers",farm workers,"agricultural workers, nec",40,40-47 weeks,yes,600,1200,600,,,entered as written,entered as written,1,2,3
2019,2019 acs,94025,2019000079181,28,married-couple family household,2019000940251,pacific division,california,california,370,11264.4,in metropolitan area: in central/principal city,373506,united states,households under 1970 definition,3500,3650,n/a,all other same-sex married couple households,1,28,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,31,"married, spouse present",1988,two major races,white and filipino,not hispanic,not hispanic,"yes, in school",1 year of college,"1 or more years of college credit, no degree",public school,not in labor force,not in labor force,"no, not in the labor force",works for wages,state govt employee,clerical and kindred workers (n.e.c.),general office clerks,"office clerks, general",0,n/a,n/a,"no, but worked 1-5 years ago (acs only)",0,250000,0,,,entered as written,entered as written,"direct link, clarity level 1",male,31,"married, spouse present",1988,white,white,not hispanic,not hispanic,"no, not in school",5+ years of college,doctoral degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)","managers and administrators, n.e.c","managers, nec (including postmasters)",52,50-52 weeks,yes,250000,250000,250000,,,entered as written,entered as written,1,3,5
2019,2019 acs,94693,2019000085900,183,married-couple family household,2019000946931,pacific division,california,california,370,10887.6,in metropolitan area: not in central/principal city,376006,united states,households under 1970 definition,2700,2819,n/a,all other same-sex married couple households,1,183,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,26,"married, spouse present",1993,two major races,white and black,not hispanic,not hispanic,"yes, in school",1 year of college,"1 or more years of college credit, no degree",public school,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers and superintendants, building",managers of properties and real estate,"property, real estate, and community association managers",52,50-52 weeks,25,yes,35000,90000,35000,,,entered as written,entered as written,"direct link, clarity level 1",male,25,"married, spouse present",1994,white,white,mexican,mexican,"yes, in school",1 year of college,"1 or more years of college credit, no degree","private school (1960,1990-2000,acs,prcs)",employed,at work,"yes, in the labor force",works for wages,federal govt employee,"guards, watchmen, and doorkeepers","other law enforcement: sheriffs, bailiffs, correctional institution officers","sheriffs, bailiffs, correctional officers, and jailers",52,50-52 weeks,yes,55000,90000,55000,,,entered as written,allocated,1,3,3
2019,2019 acs,95121,2019000090383,112,married-couple family household,2019000951211,pacific division,california,california,750,27323.6,in metropolitan area: in central/principal city,750406,united states,households under 1970 definition,n/a,n/a,n/a,all other same-sex married couple households,1,113,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,31,"married, spouse present",1988,white,white,mexican,mexican,"yes, in school",2 years of college,"associate's degree, type not specified",public school,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)","managers and administrators, n.e.c","managers, nec (including postmasters)",52,50-52 weeks,40,yes,63000,143000,63000,,,entered as written,entered as written,"direct link, clarity level 1",female,27,"married, spouse present",1992,black/african american,black/african american,mexican,mexican,"no, not in school",5+ years of college,master's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,local govt employee,psychologists,psychologists,psychologists,52,50-52 weeks,yes,80000,143000,80000,,,entered as written,entered as written,1,3,5
2019,2019 acs,96217,2019000102438,85,"female householder, no husband present",2019000962171,pacific division,california,california,0,850.8,in metropolitan area: central/principal city status indeterminable (mixed),1010006,united states,households under 1970 definition,1600,1845,n/a,households without a same-sex married couple,3,46,0,0,4,"direct link, clarity level 1",0,0 children present,no children under age 5,male,24,"married, spouse present",1995,white,white,mexican,mexican,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",salesmen and sales clerks (nec),retail sales clerks,retail salespersons,52,50-52 weeks,40,yes,10000,20000,10000,,,entered as written,entered as written,"direct link, clarity level 1",male,22,"married, spouse present",1997,white,white,mexican,mexican,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",clerical and kindred workers (n.e.c.),"customer service reps, investigators and adjusters, except insurance",customer service representatives,52,50-52 weeks,yes,10000,20000,10000,,,entered as written,entered as written,1,2,2
2019,2019 acs,96234,2019000102637,82,married-couple family household,2019000962341,pacific division,california,california,850,8476.299999999999,in metropolitan area: central/principal city status indeterminable (mixed),851106,united states,households under 1970 definition,n/a,n/a,500000,all other same-sex married couple households,1,82,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,31,"married, spouse present",1988,white,white,mexican,mexican,"no, not in school",5+ years of college,doctoral degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,local govt employee,teachers (n.e.c.),managers in education and related fields,education administrators,52,50-52 weeks,45,yes,95000,160000,95000,,,entered as written,entered as written,"direct link, clarity level 1",male,31,"married, spouse present",1988,white,white,mexican,mexican,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,"managers, officials, and proprietors (nec)","managers of service organizations, n.e.c",social and community service managers,52,50-52 weeks,yes,65000,160000,65000,,,entered as written,entered as written,1,5,4
